time,open,high,low,close,tick_volume,spread,real_volume
2024-01-24 23:30:00,2016.272,2017.4,2015.702,2016.918,636,599,0
2024-01-24 23:45:00,2016.903,2017.342,2016.072,2016.101,540,599,0
2024-01-25 00:00:00,2016.247,2016.717,2015.115,2015.565,829,200,0
2024-01-25 00:15:00,2015.575,2016.23,2015.334,2015.883,726,199,0
2024-01-25 00:30:00,2015.892,2016.724,2015.686,2016.044,739,199,0
2024-01-25 00:45:00,2016.097,2016.373,2014.798,2015.414,1024,200,0
2024-01-25 01:00:00,2015.411,2015.772,2014.628,2015.187,1178,199,0
2024-01-25 01:15:00,2015.183,2015.25,2014.44,2014.934,941,199,0
2024-01-25 01:30:00,2014.888,2017.284,2014.818,2016.951,1033,199,0
2024-01-25 01:45:00,2016.95,2017.206,2015.753,2016.462,923,199,0
2024-01-25 02:00:00,2016.473,2016.871,2015.904,2016.438,864,199,0
2024-01-25 02:15:00,2016.44,2016.9,2015.978,2016.684,828,199,0
2024-01-25 02:30:00,2016.678,2016.968,2015.167,2015.212,770,199,0
2024-01-25 02:45:00,2015.213,2015.454,2014.614,2015.133,887,199,0
2024-01-25 03:00:00,2015.178,2016.588,2015.083,2015.796,808,199,0
2024-01-25 03:15:00,2015.812,2016.772,2015.609,2016.1,742,199,0
2024-01-25 03:30:00,2016.147,2016.618,2015.651,2015.815,691,200,0
2024-01-25 03:45:00,2015.796,2016.327,2015.6,2015.768,625,200,0
2024-01-25 04:00:00,2015.766,2016.34,2015.481,2016.133,511,200,0
2024-01-25 04:15:00,2016.111,2016.394,2015.819,2016.083,515,200,0
2024-01-25 04:30:00,2016.084,2016.084,2014.762,2015.139,548,200,0
2024-01-25 04:45:00,2015.116,2015.773,2015.102,2015.651,580,200,0
2024-01-25 05:00:00,2015.672,2016.36,2015.592,2016.305,662,199,0
2024-01-25 05:15:00,2016.272,2016.573,2015.762,2016.219,633,200,0
2024-01-25 05:30:00,2016.221,2016.221,2014.801,2015.224,827,199,0
2024-01-25 05:45:00,2015.241,2015.648,2014.956,2015.493,723,200,0
